Price,Address,Bedrooms,Bathrooms,Living Area (sqft),Latitude,Longitude,Property Link
"$1,435,000","20629 W Chestnut Cir, Northridge, CA 91326",4,3,2189 sqft,34.29323,-118.58351,https://www.zillow.com/homedetails/20629-W-Chestnut-Cir-Northridge-CA-91326/302797446_zpid/
"$649,950","20139 Hartland St, Winnetka, CA 91306",3,2,1202 sqft,34.194954,-118.572525,https://www.zillow.com/homedetails/20139-Hartland-St-Winnetka-CA-91306/19926487_zpid/
"$299,888","421 S La Fayette Park Pl APT 514, Los Angeles, CA 90057",1,1,800 sqft,34.065426,-118.28233,https://www.zillow.com/homedetails/421-S-La-Fayette-Park-Pl-APT-514-Los-Angeles-CA-90057/20626699_zpid/
"$799,000","815 N Avenue 63, Los Angeles, CA 90042",3,2,1180 sqft,34.121742,-118.17909,https://www.zillow.com/homedetails/815-N-Avenue-63-Los-Angeles-CA-90042/2061937100_zpid/
"$177,000,000","607 Siena Way, Los Angeles, CA 90077",8,25,35000 sqft,34.08185,-118.4473,https://www.zillow.com/homedetails/607-Siena-Way-Los-Angeles-CA-90077/447566500_zpid/
"$1,259,000","19120 Bessemer St, Reseda, CA 91335",4,3,2060 sqft,34.180664,-118.54924,https://www.zillow.com/homedetails/19120-Bessemer-St-Reseda-CA-91335/19921550_zpid/
"$120,000,000","10936 Chalon Rd, Los Angeles, CA 90077",9,13,14941 sqft,34.08502,-118.45782,https://www.zillow.com/homedetails/10936-Chalon-Rd-Los-Angeles-CA-90077/20529056_zpid/
"$999,000","6533 Meridian St, Los Angeles, CA 90042",4,2,1900 sqft,34.12049,-118.175446,https://www.zillow.com/homedetails/6533-Meridian-St-Los-Angeles-CA-90042/20859370_zpid/
"$119,950","8250 Lankershim Blvd #36, North Hollywood, CA 91605",2,2,672 sqft,34.220783,-118.38796,https://www.zillow.com/homedetails/8250-Lankershim-Blvd-36-North-Hollywood-CA-91605/455099222_zpid/
"$1,295,000","4559 E Rose Hill Dr, Los Angeles, CA 90032",4,3,1805 sqft,34.084427,-118.19287,https://www.zillow.com/homedetails/4559-E-Rose-Hill-Dr-Los-Angeles-CA-90032/20689632_zpid/
"$364,900","13691 Gavina Ave UNIT 574, Sylmar, CA 91342",3,2,1652 sqft,34.317696,-118.40216,https://www.zillow.com/homedetails/13691-Gavina-Ave-UNIT-574-Sylmar-CA-91342/136709683_zpid/
N/A,"1500 W 186th St, Gardena, CA 90248",5,3,1868 sqft,33.861763,-118.30282,https://www.zillow.com/homedetails/1500-W-186th-St-Gardena-CA-90248/20981759_zpid/
"$126,000,000","9505 Gloaming Dr, Beverly Hills, CA 90210",8,20,30610 sqft,34.116695,-118.40275,https://www.zillow.com/homedetails/9505-Gloaming-Dr-Beverly-Hills-CA-90210/2054444989_zpid/
"$77,500,000","9966 Beverly Grove Dr, Beverly Hills, CA 90210",6,13,15700 sqft,34.09388,-118.426765,https://www.zillow.com/homedetails/9966-Beverly-Grove-Dr-Beverly-Hills-CA-90210/119920526_zpid/
"$1,135,000","12122 Ivy Pl, Los Angeles, CA 90064",3,2,1057 sqft,34.022484,-118.44478,https://www.zillow.com/homedetails/12122-Ivy-Pl-Los-Angeles-CA-90064/20463071_zpid/
"$949,900","11258 Yolanda Ave, Porter Ranch, CA 91326",5,3,2436 sqft,34.276123,-118.54475,https://www.zillow.com/homedetails/11258-Yolanda-Ave-Porter-Ranch-CA-91326/20235086_zpid/
"$69,995,000","1420 Davies Dr, Beverly Hills, CA 90210",8,14,21800 sqft,34.098576,-118.43304,https://www.zillow.com/homedetails/1420-Davies-Dr-Beverly-Hills-CA-90210/20523735_zpid/
"$2,250,000","6105 Mulholland Hwy, Los Angeles, CA 90068",3,4,2515 sqft,34.130997,-118.32098,https://www.zillow.com/homedetails/6105-Mulholland-Hwy-Los-Angeles-CA-90068/20806334_zpid/
"$200,000","240 Robinson St, Los Angeles, CA 90026",8,8,7896 sqft,34.075127,-118.28209,https://www.zillow.com/homedetails/240-Robinson-St-Los-Angeles-CA-90026/2099867488_zpid/
"$500,000","10331 Lindley Ave UNIT 219, Porter Ranch, CA 91326",3,2,1074 sqft,34.25822,-118.52741,https://www.zillow.com/homedetails/10331-Lindley-Ave-UNIT-219-Porter-Ranch-CA-91326/20167693_zpid/
"$137,500,000","594 S Mapleton Dr, Los Angeles, CA 90024",14,27,56500 sqft,34.07333,-118.42828,https://www.zillow.com/homedetails/594-S-Mapleton-Dr-Los-Angeles-CA-90024/20524417_zpid/
"$1,099,000","2919 Gleneden St, Los Angeles, CA 90039",3,2,1484 sqft,34.10697,-118.2489,https://www.zillow.com/homedetails/2919-Gleneden-St-Los-Angeles-CA-90039/35971354_zpid/
"$49,995,000","10066 Cielo Dr, Beverly Hills, CA 90210",9,18,21000 sqft,34.093983,-118.432236,https://www.zillow.com/homedetails/10066-Cielo-Dr-Beverly-Hills-CA-90210/243990393_zpid/
"$798,000","4819 Glenalbyn Dr, Los Angeles, CA 90065",3,2,1140 sqft,34.103176,-118.21177,https://www.zillow.com/homedetails/4819-Glenalbyn-Dr-Los-Angeles-CA-90065/20761293_zpid/
"$175,000,000","1261 Angelo Dr, Beverly Hills, CA 90210",16,27,50000 sqft,34.09164,-118.436676,https://www.zillow.com/homedetails/1261-Angelo-Dr-Beverly-Hills-CA-90210/95547747_zpid/
"$1,695,000","10412 Hebron Ln, Los Angeles, CA 90077",3,2,2185 sqft,34.104195,-118.44632,https://www.zillow.com/homedetails/10412-Hebron-Ln-Los-Angeles-CA-90077/20529680_zpid/
"$175,000,000","10644 Bellagio Rd, Los Angeles, CA 90077",7,20,N/A,34.080185,-118.4439,https://www.zillow.com/homedetails/10644-Bellagio-Rd-Los-Angeles-CA-90077/20526802_zpid/
"$999,000","10251 Glade Ave, Chatsworth, CA 91311",4,3,2363 sqft,34.256725,-118.608925,https://www.zillow.com/homedetails/10251-Glade-Ave-Chatsworth-CA-91311/20170822_zpid/
"$17,998,000","10950 Bellagio Rd, Los Angeles, CA 90077",6,6,7830 sqft,34.079052,-118.45632,https://www.zillow.com/homedetails/10950-Bellagio-Rd-Los-Angeles-CA-90077/20527670_zpid/
"$118,000,000","1200 Bel Air Rd, Los Angeles, CA 90077",12,17,N/A,34.095257,-118.44335,https://www.zillow.com/homedetails/1200-Bel-Air-Rd-Los-Angeles-CA-90077/20529664_zpid/
"$170,000","1601 Fair Park Ave, Los Angeles, CA 90041",6,6,3900 sqft,34.13434,-118.201706,https://www.zillow.com/homedetails/1601-Fair-Park-Ave-Los-Angeles-CA-90041/2064342670_zpid/
"$874,999","15086 Oro Grande St, Sylmar, CA 91342",4,2,1328 sqft,34.29443,-118.45965,https://www.zillow.com/homedetails/15086-Oro-Grande-St-Sylmar-CA-91342/20111248_zpid/
"$54,000,000","766 Paseo Miramar, Pacific Palisades, CA 90272",7,12,18372 sqft,34.048832,-118.55671,https://www.zillow.com/homedetails/766-Paseo-Miramar-Pacific-Palisades-CA-90272/20543033_zpid/
"$36,500,000","1047 N Bundy Dr, Los Angeles, CA 90049",7,11,16672 sqft,34.078506,-118.48281,https://www.zillow.com/homedetails/1047-N-Bundy-Dr-Los-Angeles-CA-90049/336477337_zpid/
"$2,795,000","2442 Green View Pl, Los Angeles, CA 90046",4,3,3094 sqft,34.11722,-118.389084,https://www.zillow.com/homedetails/2442-Green-View-Pl-Los-Angeles-CA-90046/20800926_zpid/
"$58,500,000","12833 Chalon Rd, Los Angeles, CA 90049",6,9,9960 sqft,34.08137,-118.49889,https://www.zillow.com/homedetails/12833-Chalon-Rd-Los-Angeles-CA-90049/20559456_zpid/
"$675,000","9402 S Van Ness Ave, Los Angeles, CA 90047",3,2,1424 sqft,33.95108,-118.31738,https://www.zillow.com/homedetails/9402-S-Van-Ness-Ave-Los-Angeles-CA-90047/20963171_zpid/
"$749,900","13451 Beaver St, Sylmar, CA 91342",3,1,1022 sqft,34.314507,-118.42607,https://www.zillow.com/homedetails/13451-Beaver-St-Sylmar-CA-91342/20073717_zpid/
"$5,798,000","2417 Nottingham Ave, Los Angeles, CA 90027",4,4,4270 sqft,34.11249,-118.30188,https://www.zillow.com/homedetails/2417-Nottingham-Ave-Los-Angeles-CA-90027/20808651_zpid/
"$79,000,000","9904 Kip Dr, Beverly Hills, CA 90210",10,22,24757 sqft,34.10128,-118.43296,https://www.zillow.com/homedetails/9904-Kip-Dr-Beverly-Hills-CA-90210/20523467_zpid/
"$949,000","5656 Cartwright Ave, North Hollywood, CA 91601",4,3,2049 sqft,34.17382,-118.363464,https://www.zillow.com/homedetails/5656-Cartwright-Ave-North-Hollywood-CA-91601/20040675_zpid/
"$24,995,000","900 Napoli Dr, Pacific Palisades, CA 90272",5,7,7167 sqft,34.04415,-118.506966,https://www.zillow.com/homedetails/900-Napoli-Dr-Pacific-Palisades-CA-90272/20538969_zpid/
"$68,000,000","9330 Flicker Way, West Hollywood, CA 90069",9,14,N/A,34.09659,-118.3935,https://www.zillow.com/homedetails/9330-Flicker-Way-West-Hollywood-CA-90069/2059262429_zpid/
"$399,000","8713 Cedros Ave, Panorama City, CA 91402",2,2,1100 sqft,34.228878,-118.45442,https://www.zillow.com/homedetails/8713-Cedros-Ave-Panorama-City-CA-91402/20134316_zpid/
"$2,428,000","7832 Croydon Ave, Los Angeles, CA 90045",5,3,2522 sqft,33.968258,-118.39172,https://www.zillow.com/homedetails/7832-Croydon-Ave-Los-Angeles-CA-90045/20379955_zpid/
"$1,099,000","3523 Winchester Ave, Los Angeles, CA 90032",3,2,2243 sqft,34.08706,-118.16073,https://www.zillow.com/homedetails/3523-Winchester-Ave-Los-Angeles-CA-90032/20683414_zpid/
"$2,399,000","10560 Wilshire Blvd APT 1805, Los Angeles, CA 90024",2,3,2874 sqft,34.062046,-118.43252,https://www.zillow.com/homedetails/10560-Wilshire-Blvd-APT-1805-Los-Angeles-CA-90024/20507265_zpid/
"$1,099,000","1920 Pandora Ave APT 3, Los Angeles, CA 90025",2,3,1583 sqft,34.05446,-118.42359,https://www.zillow.com/homedetails/1920-Pandora-Ave-APT-3-Los-Angeles-CA-90025/448142249_zpid/
"$9,995,000","2720 Glendower Ave, Los Angeles, CA 90027",5,6,6293 sqft,34.116592,-118.29551,https://www.zillow.com/homedetails/2720-Glendower-Ave-Los-Angeles-CA-90027/20808826_zpid/
"$699,999","8165 Mammoth Ave, Panorama City, CA 91402",2,1,1166 sqft,34.2192,-118.43363,https://www.zillow.com/homedetails/8165-Mammoth-Ave-Panorama-City-CA-91402/19956964_zpid/
"$279,000","5460 White Oak Ave UNIT E212, Encino, CA 91316",2,2,990 sqft,34.16976,-118.51664,https://www.zillow.com/homedetails/5460-White-Oak-Ave-UNIT-E212-Encino-CA-91316/19978817_zpid/
"$769,000","1701 S Kingsley Dr, Los Angeles, CA 90006",5,2,3050 sqft,34.042637,-118.303635,https://www.zillow.com/homedetails/1701-S-Kingsley-Dr-Los-Angeles-CA-90006/20603326_zpid/
"$619,900","1155 S Grand Ave APT 307, Los Angeles, CA 90015",1,1,960 sqft,34.040806,-118.26319,https://www.zillow.com/homedetails/1155-S-Grand-Ave-APT-307-Los-Angeles-CA-90015/88063086_zpid/
"$209,950","2 Donna Way, Mission Hills, CA 91345",3,2,1076 sqft,34.26457,-118.46735,https://www.zillow.com/homedetails/2-Donna-Way-Mission-Hills-CA-91345/455134720_zpid/
"$499,000","1331 Lilac Ter, Los Angeles, CA 90026",1,1,656 sqft,34.074303,-118.25121,https://www.zillow.com/homedetails/1331-Lilac-Ter-Los-Angeles-CA-90026/2096946966_zpid/
"$699,000","20763 Skouras Dr, Winnetka, CA 91306",3,2,1736 sqft,34.192406,-118.58607,https://www.zillow.com/homedetails/20763-Skouras-Dr-Winnetka-CA-91306/19930728_zpid/
"$549,000","17917 Burbank Blvd, Encino, CA 91316",2,1,781 sqft,34.1725,-118.52274,https://www.zillow.com/homedetails/17917-Burbank-Blvd-Encino-CA-91316/19936299_zpid/
"$599,000","2019 Hyperion Ave, Los Angeles, CA 90027",2,1,760 sqft,34.098564,-118.274506,https://www.zillow.com/homedetails/2019-Hyperion-Ave-Los-Angeles-CA-90027/20746854_zpid/
"$2,650,000","5457 Encino Ave, Encino, CA 91316",2,2,2260 sqft,34.170666,-118.515656,https://www.zillow.com/homedetails/5457-Encino-Ave-Encino-CA-91316/19978427_zpid/
"$1,150,000","18620 Citronia St, Northridge, CA 91324",3,2,1917 sqft,34.244976,-118.53899,https://www.zillow.com/homedetails/18620-Citronia-St-Northridge-CA-91324/20175648_zpid/
"$1,295,000","4815 Buchanan St, Los Angeles, CA 90042",2,2,1150 sqft,34.12066,-118.211006,https://www.zillow.com/homedetails/4815-Buchanan-St-Los-Angeles-CA-90042/20766570_zpid/
"$17,888,000","7305 Pyramid Pl, Los Angeles, CA 90046",7,9,9200 sqft,34.120335,-118.35177,https://www.zillow.com/homedetails/7305-Pyramid-Pl-Los-Angeles-CA-90046/95637520_zpid/
"$495,000","8551 Lookout Mountain Ave, Los Angeles, CA 90046",2,1,825 sqft,34.11312,-118.38017,https://www.zillow.com/homedetails/8551-Lookout-Mountain-Ave-Los-Angeles-CA-90046/20800226_zpid/
"$1,495,000","6180 Rockcliff Dr, Los Angeles, CA 90068",2,2,1477 sqft,34.127785,-118.32064,https://www.zillow.com/homedetails/6180-Rockcliff-Dr-Los-Angeles-CA-90068/20806598_zpid/
"$1,200,000","2251 N Cahuenga Blvd, Los Angeles, CA 90068",2,2,1133 sqft,34.110935,-118.33284,https://www.zillow.com/homedetails/2251-N-Cahuenga-Blvd-Los-Angeles-CA-90068/20804076_zpid/
"$9,995,000","2666 Aberdeen Ave, Los Angeles, CA 90027",3,4,4026 sqft,34.11771,-118.29024,https://www.zillow.com/homedetails/2666-Aberdeen-Ave-Los-Angeles-CA-90027/20809401_zpid/
"$63,000,000","9214 Nightingale Dr, Los Angeles, CA 90069",5,7,13870 sqft,34.103535,-118.38906,https://www.zillow.com/homedetails/9214-Nightingale-Dr-Los-Angeles-CA-90069/2107527769_zpid/
"$5,695,000","15464 Duomo Via St, Los Angeles, CA 90077",4,5,4837 sqft,34.12418,-118.469894,https://www.zillow.com/homedetails/15464-Duomo-Via-St-Los-Angeles-CA-90077/20531238_zpid/
"$4,232,000","1556 Blue Jay Way, Los Angeles, CA 90069",3,3,2116 sqft,34.10102,-118.38607,https://www.zillow.com/homedetails/1556-Blue-Jay-Way-Los-Angeles-CA-90069/20799748_zpid/
"$2,650,000","3144 Nichols Canyon Rd, Los Angeles, CA 90046",4,3,2440 sqft,34.127735,-118.36375,https://www.zillow.com/homedetails/3144-Nichols-Canyon-Rd-Los-Angeles-CA-90046/20803036_zpid/
"$70,000,000","3099 Mandeville Canyon Rd, Los Angeles, CA 90049",9,15,20000 sqft,34.098335,-118.50506,https://www.zillow.com/homedetails/3099-Mandeville-Canyon-Rd-Los-Angeles-CA-90049/110283679_zpid/
"$840,824","16938 Knapp St, North Hills, CA 91343",3,3,1832 sqft,34.238342,-118.50134,https://www.zillow.com/homedetails/16938-Knapp-St-North-Hills-CA-91343/20149688_zpid/
"$729,000","321 S San Vicente Blvd APT 608, Los Angeles, CA 90048",2,2,1295 sqft,34.073105,-118.378044,https://www.zillow.com/homedetails/321-S-San-Vicente-Blvd-APT-608-Los-Angeles-CA-90048/20514510_zpid/
"$6,200,000","16980 Escalon Dr, Encino, CA 91436",6,7,7500 sqft,34.141827,-118.50122,https://www.zillow.com/homedetails/16980-Escalon-Dr-Encino-CA-91436/19992870_zpid/
"$479,900","2813 12th Ave, Los Angeles, CA 90018",2,1,840 sqft,34.030636,-118.33179,https://www.zillow.com/homedetails/2813-12th-Ave-Los-Angeles-CA-90018/20590111_zpid/
"$1,195,000","1743 Griffith Park Blvd, Los Angeles, CA 90026",2,2,1109 sqft,34.09475,-118.27728,https://www.zillow.com/homedetails/1743-Griffith-Park-Blvd-Los-Angeles-CA-90026/20746265_zpid/
"$2,900,000","5163 Franklin Ave, Los Angeles, CA 90027",3,3,2762 sqft,34.10564,-118.30264,https://www.zillow.com/homedetails/5163-Franklin-Ave-Los-Angeles-CA-90027/20809679_zpid/
"$2,995,000","338 S Highland Ave, Los Angeles, CA 90036",5,6,4546 sqft,34.067722,-118.33812,https://www.zillow.com/homedetails/338-S-Highland-Ave-Los-Angeles-CA-90036/20775387_zpid/
"$920,000","21050 Community St, Canoga Park, CA 91304",4,2,1683 sqft,34.221893,-118.59237,https://www.zillow.com/homedetails/21050-Community-St-Canoga-Park-CA-91304/20178738_zpid/
"$4,995,000","3685 Benedict Canyon Ln, Sherman Oaks, CA 91423",5,5,5791 sqft,34.136677,-118.435005,https://www.zillow.com/homedetails/3685-Benedict-Canyon-Ln-Sherman-Oaks-CA-91423/68977965_zpid/
"$1,195,000","3760 Latrobe St, Los Angeles, CA 90031",2,3,1644 sqft,34.090267,-118.19817,https://www.zillow.com/homedetails/3760-Latrobe-St-Los-Angeles-CA-90031/20689244_zpid/
"$9,495,000","1296 Capri Dr, Pacific Palisades, CA 90272",5,5,4950 sqft,34.052593,-118.50205,https://www.zillow.com/homedetails/1296-Capri-Dr-Pacific-Palisades-CA-90272/20538781_zpid/
"$1,375,000","12440 Walsh Ave, Los Angeles, CA 90066",3,2,1513 sqft,33.99066,-118.422134,https://www.zillow.com/homedetails/12440-Walsh-Ave-Los-Angeles-CA-90066/20442243_zpid/
"$8,995,000","5133 Louise Ave, Encino, CA 91316",7,9,9835 sqft,34.164318,-118.51032,https://www.zillow.com/homedetails/5133-Louise-Ave-Encino-CA-91316/19978675_zpid/
"$999,000","1124 Montecito Dr, Los Angeles, CA 90031",2,2,1251 sqft,34.08807,-118.201164,https://www.zillow.com/homedetails/1124-Montecito-Dr-Los-Angeles-CA-90031/20689127_zpid/
"$1,525,000","8506 Magnolia Dr, Los Angeles, CA 90046",1,2,1548 sqft,34.10264,-118.37766,https://www.zillow.com/homedetails/8506-Magnolia-Dr-Los-Angeles-CA-90046/20797847_zpid/
"$285,000","5460 White Oak Ave UNIT E339, Los Angeles, CA 91316",2,2,1009 sqft,34.16982,-118.517296,https://www.zillow.com/homedetails/5460-White-Oak-Ave-UNIT-E339-Los-Angeles-CA-91316/19979218_zpid/
"$1,799,000","1730 N Berendo St, Los Angeles, CA 90027",3,2,2250 sqft,34.102722,-118.29419,https://www.zillow.com/homedetails/1730-N-Berendo-St-Los-Angeles-CA-90027/20810136_zpid/
"$999,900","17113 Lisette St, Granada Hills, CA 91344",5,2,2936 sqft,34.30353,-118.50511,https://www.zillow.com/homedetails/17113-Lisette-St-Granada-Hills-CA-91344/20105190_zpid/
"$5,999,999","17121 Rancho St, Encino, CA 91316",8,15,18000 sqft,34.15875,-118.506905,https://www.zillow.com/homedetails/17121-Rancho-St-Encino-CA-91316/19993353_zpid/
"$995,000","953 N Martel Ave, Los Angeles, CA 90046",2,1,1029 sqft,34.088573,-118.351364,https://www.zillow.com/homedetails/953-N-Martel-Ave-Los-Angeles-CA-90046/455324628_zpid/
"$595,000","810 Oceanside St, Wilmington, CA 90744",4,2,1540 sqft,33.804157,-118.26068,https://www.zillow.com/homedetails/810-Oceanside-St-Wilmington-CA-90744/21286599_zpid/
"$49,999,999","684 Firth Ave, Los Angeles, CA 90049",6,10,N/A,34.07363,-118.47637,https://www.zillow.com/homedetails/684-Firth-Ave-Los-Angeles-CA-90049/20547119_zpid/
"$2,395,000","13035 Rose Ave, Los Angeles, CA 90066",3,3,1683 sqft,34.00947,-118.451096,https://www.zillow.com/homedetails/13035-Rose-Ave-Los-Angeles-CA-90066/20453960_zpid/
"$7,798,000","1851 Outpost Dr, Los Angeles, CA 90068",6,7,5906 sqft,34.105526,-118.34441,https://www.zillow.com/homedetails/1851-Outpost-Dr-Los-Angeles-CA-90068/20803593_zpid/
"$1,245,000","2560 Hyler Ave, Los Angeles, CA 90041",3,2,1192 sqft,34.129402,-118.22196,https://www.zillow.com/homedetails/2560-Hyler-Ave-Los-Angeles-CA-90041/20764615_zpid/
"$549,000","15121 Los Olivos St, Mission Hills, CA 91345",1,1,666 sqft,34.26982,-118.46162,https://www.zillow.com/homedetails/15121-Los-Olivos-St-Mission-Hills-CA-91345/20112679_zpid/
"$1,499,000","3735 Edenhurst Ave, Los Angeles, CA 90039",3,2,1531 sqft,34.12018,-118.262535,https://www.zillow.com/homedetails/3735-Edenhurst-Ave-Los-Angeles-CA-90039/20749940_zpid/
"$575,000","8111 S Halldale Ave, Los Angeles, CA 90047",3,2,842 sqft,33.96511,-118.30264,https://www.zillow.com/homedetails/8111-S-Halldale-Ave-Los-Angeles-CA-90047/20948149_zpid/
"$2,599,000","3873 Berry Dr, Studio City, CA 91604",4,5,2886 sqft,34.13701,-118.381165,https://www.zillow.com/homedetails/3873-Berry-Dr-Studio-City-CA-91604/20030710_zpid/
"$899,000","5345 Monterey Rd, Los Angeles, CA 90042",2,2,1004 sqft,34.099754,-118.188644,https://www.zillow.com/homedetails/5345-Monterey-Rd-Los-Angeles-CA-90042/20687594_zpid/
"$10,000,000","1525 Blue Jay Way, Los Angeles, CA 90069",4,6,6200 sqft,34.1003,-118.38737,https://www.zillow.com/homedetails/1525-Blue-Jay-Way-Los-Angeles-CA-90069/20799741_zpid/
"$675,000","21211 Avenue San Luis, Woodland Hills, CA 91364",2,1,1138 sqft,34.165665,-118.5944,https://www.zillow.com/homedetails/21211-Avenue-San-Luis-Woodland-Hills-CA-91364/19941755_zpid/
"$22,995,000","1682 San Onofre Dr, Pacific Palisades, CA 90272",7,11,10413 sqft,34.06241,-118.501976,https://www.zillow.com/homedetails/1682-San-Onofre-Dr-Pacific-Palisades-CA-90272/20546184_zpid/
"$2,399,000","15515 Hamner Dr, Los Angeles, CA 90077",4,3,2832 sqft,34.123547,-118.46522,https://www.zillow.com/homedetails/15515-Hamner-Dr-Los-Angeles-CA-90077/20531056_zpid/
"$699,000","3420 W 71st St, Los Angeles, CA 90043",3,2,1408 sqft,33.97541,-118.331764,https://www.zillow.com/homedetails/3420-W-71st-St-Los-Angeles-CA-90043/20326931_zpid/
"$49,500,000","12705 Chalon Rd, Los Angeles, CA 90049",7,11,11449 sqft,34.083813,-118.49853,https://www.zillow.com/homedetails/12705-Chalon-Rd-Los-Angeles-CA-90049/20559449_zpid/
"$4,995,000","2110 Eric Dr, Los Angeles, CA 90049",4,4,3113 sqft,34.072372,-118.501305,https://www.zillow.com/homedetails/2110-Eric-Dr-Los-Angeles-CA-90049/20559043_zpid/
"$2,658,000","4260 Sea View Ln, Los Angeles, CA 90065",3,2,1501 sqft,34.10894,-118.219086,https://www.zillow.com/homedetails/4260-Sea-View-Ln-Los-Angeles-CA-90065/448150693_zpid/
"$2,499,000","1900 N Serrano Ave, Los Angeles, CA 90027",4,4,3668 sqft,34.105564,-118.30682,https://www.zillow.com/homedetails/1900-N-Serrano-Ave-Los-Angeles-CA-90027/20809591_zpid/
"$59,000,000","10697 Somma Way, Los Angeles, CA 90077",8,21,41000 sqft,34.091072,-118.452225,https://www.zillow.com/homedetails/10697-Somma-Way-Los-Angeles-CA-90077/20529397_zpid/
"$41,950,000","250 S Rockingham Ave, Los Angeles, CA 90049",7,12,13500 sqft,34.05467,-118.489586,https://www.zillow.com/homedetails/250-S-Rockingham-Ave-Los-Angeles-CA-90049/20538460_zpid/
"$599,000","141 S Clark Dr APT 319, Los Angeles, CA 90048",1,1,710 sqft,34.07404,-118.38532,https://www.zillow.com/homedetails/141-S-Clark-Dr-APT-319-Los-Angeles-CA-90048/89144499_zpid/
"$1,250,000","4325 Price St, Los Angeles, CA 90027",3,2,1620 sqft,34.10928,-118.283875,https://www.zillow.com/homedetails/4325-Price-St-Los-Angeles-CA-90027/20810997_zpid/
"$1,299,000","532 N Virgil Ave, Los Angeles, CA 90004",2,2,1620 sqft,34.080387,-118.28642,https://www.zillow.com/homedetails/532-N-Virgil-Ave-Los-Angeles-CA-90004/20791104_zpid/
"$774,999","7723 Capistrano Ave, West Hills, CA 91304",3,2,1570 sqft,34.21085,-118.61695,https://www.zillow.com/homedetails/7723-Capistrano-Ave-West-Hills-CA-91304/51578310_zpid/
